stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id
Blocked Shots,5,3,general,,,,,,colvslafc-10-18-2025
Total Passes,564,510,general,,,,,,colvslafc-10-18-2025
Passing Accuracy %,87.1,84.5,general,,,,,,colvslafc-10-18-2025
Corners,6,5,general,,,,,,colvslafc-10-18-2025
Total Crosses,8,3,general,,,,,,colvslafc-10-18-2025
Offsides,3,1,general,,,,,,colvslafc-10-18-2025
Aerial Duels Won,15,15,general,,,,,,colvslafc-10-18-2025
Expected Goals,0.9,1.7,general,,,,,,colvslafc-10-18-2025
Goalkeeper Saves,7,1,general,,,,,,colvslafc-10-18-2025
Clearances,5,6,general,,,,,,colvslafc-10-18-2025
Fouls,6,11,general,,,,,,colvslafc-10-18-2025
Yellow Cards,3,3,general,,,,,,colvslafc-10-18-2025
Red Cards,0,0,general,,,,,,colvslafc-10-18-2025
Overall %,87.1,84.5,general,,,,,,colvslafc-10-18-2025
Open Play Pass %,87.8,85.5,general,,,,,,colvslafc-10-18-2025
Set Piece Cross %,0,50,general,,,,,,colvslafc-10-18-2025
Open Play Cross %,50,66.7,general,,,,,,colvslafc-10-18-2025
Goals,2,2,general,,,,,,colvslafc-10-18-2025
On Target,3,9,general,,,,,,colvslafc-10-18-2025
Off Target,11,15,general,,,,,,colvslafc-10-18-2025
Blocked,5,3,general,,,,,,colvslafc-10-18-2025
Goals Conceded,2,2,general,,,,,,colvslafc-10-18-2025
Shots Against,13,17,general,,,,,,colvslafc-10-18-2025
Clean Sheets,0,0,general,,,,,,colvslafc-10-18-2025
XG Conceded,1.7,0.9,general,,,,,,colvslafc-10-18-2025
Interceptions,0,3,general,,,,,,colvslafc-10-18-2025
Goals,2,2,shooting,,,,,,colvslafc-10-18-2025
On Target,3,9,shooting,,,,,,colvslafc-10-18-2025
Off Target,4,4,shooting,,,,,,colvslafc-10-18-2025
Blocked,5,3,shooting,,,,,,colvslafc-10-18-2025
Overall %,87.1,84.5,passing,,,,,,colvslafc-10-18-2025
Open Play Pass %,87.8,85.5,passing,,,,,,colvslafc-10-18-2025
Set Piece Cross %,0,50,passing,,,,,,colvslafc-10-18-2025
Open Play Cross %,50,66.7,passing,,,,,,colvslafc-10-18-2025
,,,possession,bar_0,Home Possession: 52.41%,Home Advantage: 4.82%,Away Possession: 47.59%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_1,Home Possession: 59.86%,Home Advantage: 19.72%,Away Possession: 40.14%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2,Home Possession: 42.47%,Home Advantage: N/A,Away Possession: 57.53%,Away Advantage: 15.06%,colvslafc-10-18-2025
,,,possession,bar_3,Home Possession: 57.11%,Home Advantage: 14.22%,Away Possession: 42.89%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_4,Home Possession: 65.16%,Home Advantage: 30.32%,Away Possession: 34.84%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_5,Home Possession: 61.28%,Home Advantage: 22.56%,Away Possession: 38.72%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_6,Home Possession: 68.62%,Home Advantage: 37.24%,Away Possession: 31.38%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_7,Home Possession: 40.84%,Home Advantage: N/A,Away Possession: 59.16%,Away Advantage: 18.32%,colvslafc-10-18-2025
,,,possession,bar_8,Home Possession: 72.48%,Home Advantage: 44.96%,Away Possession: 27.52%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2_0,Home Possession: 43.03%,Home Advantage: N/A,Away Possession: 56.97%,Away Advantage: 13.94%,colvslafc-10-18-2025
,,,possession,bar_2_1,Home Possession: 54.82%,Home Advantage: 9.64%,Away Possession: 45.18%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2_2,Home Possession: 62.24%,Home Advantage: 24.48%,Away Possession: 37.76%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2_3,Home Possession: 51.98%,Home Advantage: 3.96%,Away Possession: 48.02%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2_4,Home Possession: 47.3%,Home Advantage: N/A,Away Possession: 52.7%,Away Advantage: 5.4%,colvslafc-10-18-2025
,,,possession,bar_2_5,Home Possession: 64.6%,Home Advantage: 29.2%,Away Possession: 35.4%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2_6,Home Possession: 68.29%,Home Advantage: 36.58%,Away Possession: 31.71%,Away Advantage: N/A,colvslafc-10-18-2025
,,,possession,bar_2_7,Home Possession: 30.8%,Home Advantage: N/A,Away Possession: 69.2%,Away Advantage: 38.4%,colvslafc-10-18-2025
,,,possession,bar_2_8,Home Possession: 65.68%,Home Advantage: 31.36%,Away Possession: 34.32%,Away Advantage: N/A,colvslafc-10-18-2025
Total Team XG,0.9,1.7,xg,,,,,,colvslafc-10-18-2025
Shots,13,17,xg,,,,,,colvslafc-10-18-2025
Shots On Target,3,9,xg,,,,,,colvslafc-10-18-2025
Possession %,48.3,51.8,general,,,,,,atlvsdc-10-18-2025
Shots,14,10,general,,,,,,atlvsdc-10-18-2025
Shots on Goal,7,4,general,,,,,,atlvsdc-10-18-2025
Blocked Shots,3,5,general,,,,,,atlvsdc-10-18-2025
Total Passes,471,447,general,,,,,,atlvsdc-10-18-2025
Passing Accuracy %,84.3,81.4,general,,,,,,atlvsdc-10-18-2025
Corners,8,5,general,,,,,,atlvsdc-10-18-2025
Total Crosses,11,7,general,,,,,,atlvsdc-10-18-2025
Offsides,3,2,general,,,,,,atlvsdc-10-18-2025
Aerial Duels Won,13,12,general,,,,,,atlvsdc-10-18-2025
Expected Goals,1.7,1,general,,,,,,atlvsdc-10-18-2025
Goalkeeper Saves,3,5,general,,,,,,atlvsdc-10-18-2025
Clearances,7,6,general,,,,,,atlvsdc-10-18-2025
Fouls,12,17,general,,,,,,atlvsdc-10-18-2025
Yellow Cards,0,4,general,,,,,,atlvsdc-10-18-2025
Red Cards,0,0,general,,,,,,atlvsdc-10-18-2025
Overall %,84.3,81.4,general,,,,,,atlvsdc-10-18-2025
Open Play Pass %,84,82,general,,,,,,atlvsdc-10-18-2025
Set Piece Cross %,28.6,0,general,,,,,,atlvsdc-10-18-2025
Open Play Cross %,9.1,14.3,general,,,,,,atlvsdc-10-18-2025
Goals,1,1,general,,,,,,atlvsdc-10-18-2025
On Target,7,4,general,,,,,,atlvsdc-10-18-2025
Off Target,13,9,general,,,,,,atlvsdc-10-18-2025
Blocked,3,5,general,,,,,,atlvsdc-10-18-2025
Goals Conceded,1,1,general,,,,,,atlvsdc-10-18-2025
Shots Against,14,10,general,,,,,,atlvsdc-10-18-2025
Clean Sheets,0,0,general,,,,,,atlvsdc-10-18-2025
XG Conceded,1,1.7,general,,,,,,atlvsdc-10-18-2025
Interceptions,3,5,general,,,,,,atlvsdc-10-18-2025
Goals,1,1,shooting,,,,,,atlvsdc-10-18-2025
On Target,7,4,shooting,,,,,,atlvsdc-10-18-2025
Off Target,4,1,shooting,,,,,,atlvsdc-10-18-2025
Blocked,3,5,shooting,,,,,,atlvsdc-10-18-2025
Overall %,84.3,81.4,passing,,,,,,atlvsdc-10-18-2025
