event_id,match_id,minute,title,comment,out_player,in_player
396,04a4ef01,10',Attempt Missed,Attempt missed. Robin Lod's (Minnesota United FC) with header from the center of the box with an xG of 9% goes over to the left.,,
397,04a4ef01,12',GOAL,Goal! 1:0. Matheus Nascimento (LA Galaxy) scored with right footed shot from the center of the box with an xG of 8% to the lower left zone.,,
398,04a4ef01,27',Attempt Missed,Attempt missed. Edwin Cerrillo's (LA Galaxy) with right footed shot from the central position outside the box with an xG of 4% goes over to the right.,,
399,04a4ef01,29',Attempt Saved,Attempt blocked. Joseph Paintsil's (LA Galaxy) with right footed shot from the right half-space outside the box with an xG of 11% is blocked by Jefferson Diaz.,,
400,04a4ef01,32',Attempt Missed,Attempt missed. Nectarios Triantis's (Minnesota United FC) with right footed shot from the center of the box with an xG of 19% misses to the left.,,
401,04a4ef01,34',Attempt Missed,Attempt missed. Bongokuhle Hlongwane's (Minnesota United FC) with left footed shot from the left half-space outside the box with an xG of 3% goes over to the left.,,
402,04a4ef01,34',Attempt Saved,Attempt saved. Gabriel Pec's (LA Galaxy) with left footed shot from the central position outside the box with an xG of 6% is saved by Dayne St. Clair.,,
403,04a4ef01,39',Attempt Saved,Attempt saved. Robin Lod's (Minnesota United FC) with left footed shot from the central position outside the box with an xG of 7% is saved by Novak Micovic.,,
404,04a4ef01,,,,M. Duggan,M. Boxall
405,04a4ef01,45',Attempt Saved,Attempt saved. Matheus Nascimento's (LA Galaxy) with right footed shot from the center of the box with an xG of 22% is saved by Dayne St. Clair.,,
406,04a4ef01,45',Attempt Saved,Attempt blocked. Diego Fagúndez's (LA Galaxy) with right footed shot from the center of the box with an xG of 23% is blocked by Michael Boxall.,,
407,04a4ef01,45'+4,Attempt Missed,Attempt missed. Jefferson Diaz's (Minnesota United FC) with header from the center of the box with an xG of 8% misses to the right.,,
408,04a4ef01,45'+5,Attempt Saved,Attempt saved. Gabriel Pec's (LA Galaxy) with left footed shot from the center of the box with an xG of 4% is saved by Dayne St. Clair.,,
409,04a4ef01,52',Post,Joseph Paintsil (LA Galaxy) hits the right post from the left side of the box with an xG of 18%.,,
