event_id,match_id,minute,title,comment,out_player,in_player
522,fa05623c,17',Attempt Missed,Attempt missed. Marco Pašalić's (Orlando City) with left footed shot from the central position outside the box with an xG of 4% misses to the left.,,
523,fa05623c,19',Attempt Missed,Attempt missed. Marco Pašalić's (Orlando City) with left footed shot from the central position outside the box with an xG of 5% misses to the right.,,
524,fa05623c,20',Attempt Saved,Attempt blocked. Iván Angulo's (Orlando City) with right footed shot from the central position outside the box with an xG of 10% is blocked by Sigurd Rosted.,,
525,fa05623c,20',Attempt Saved,Attempt blocked. Eduard Atuesta's (Orlando City) with right footed shot from the central position outside the box with an xG of 6% is blocked by Sigurd Rosted.,,
526,fa05623c,27',Attempt Saved,Attempt saved. Martín Ojeda's (Orlando City) with left footed shot from the left side of the box with an xG of 17% is saved by Sean Johnson.,,
527,fa05623c,27',Attempt Saved,Attempt blocked. Eduard Atuesta's (Orlando City) with left footed shot from the center of the box with an xG of 31% is blocked by Richie Laryea.,,
528,fa05623c,27',Attempt Saved,Attempt saved. Marco Pašalić's (Orlando City) with left footed shot from the center of the box with an xG of 12% is saved by Sean Johnson.,,
529,fa05623c,27',Attempt Saved,Attempt blocked. Iván Angulo's (Orlando City) with right footed shot from the center of the box with an xG of 20% is blocked by Kosi Thompson.,,
530,fa05623c,27',Attempt Saved,Attempt blocked. Eduard Atuesta's (Orlando City) with right footed shot from the center of the box with an xG of 20% is blocked by Kosi Thompson.,,
531,fa05623c,29',Attempt Saved,Attempt saved. Iván Angulo's (Orlando City) with right footed shot from the central position outside the box with an xG of 3% is saved by Sean Johnson.,,
532,fa05623c,30',Attempt Missed,Attempt missed. David Brekalo's (Orlando City) with header from the center of the box with an xG of 8% misses to the right.,,
533,fa05623c,32',Foul,Adrián Marín (Orlando City) is shown the yellow card for the foul.,,
534,fa05623c,33',Attempt Saved,Attempt blocked. José Cifuentes's (Toronto FC) with right footed shot from the central position outside the box with an xG of 2% is blocked by Marco Pašalić.,,
535,fa05623c,34',GOAL,Goal! 2:0. Djordje Mihailovic (Toronto FC) scored from free kick with right footed shot from the central position outside the box with an xG of 4% to the middle left zone.,,
536,fa05623c,39',Attempt Missed,Attempt missed. Jonathan Osorio's (Toronto FC) with right footed shot from the center of the box with an xG of 31% misses to the right.,,
537,fa05623c,40',Attempt Saved,Attempt blocked. Kyle Smith's (Orlando City) with right footed shot from the central position outside the box with an xG of 9% is blocked by Richie Laryea.,,
538,fa05623c,40',Attempt Saved,Attempt saved. Marco Pašalić's (Orlando City) with left footed shot from the right side of the box with an xG of 4% is saved by Sean Johnson.,,
539,fa05623c,45'+2,Attempt Saved,Attempt blocked. Marco Pašalić's (Orlando City) with right footed shot from the right side of the box with an xG of 5% is blocked by Kosi Thompson.,,
540,fa05623c,45'+3,Attempt Saved,Attempt blocked. Eduard Atuesta's (Orlando City) with right footed shot from the center of the box with an xG of 7% is blocked by Jonathan Osorio.,,
541,fa05623c,,,,A. Marín,T. Spicer
542,fa05623c,46',Yellow Card,Derrick Etienne Jr. (Toronto FC) is shown the yellow card for poor sportsmanship.,,
543,fa05623c,48',GOAL,Goal! 3:0. Djordje Mihailovic (Toronto FC) scored with left footed shot from the center of the box with an xG of 24% to the middle right zone. Assisted by Theo Corbeanu.,,
544,fa05623c,49',Foul,Theo Corbeanu (Toronto FC) is shown the yellow card for the foul.,,
545,fa05623c,52',Attempt Missed,Attempt missed. Marco Pašalić's (Orlando City) with left footed shot from the right side of the box with an xG of 2% goes over to the left.,,
546,fa05623c,53',Attempt Saved,Attempt blocked. Martín Ojeda's (Orlando City) with left footed shot from the center of the box with an xG of 3% is blocked by Sigurd Rosted.,,
547,fa05623c,53',Attempt Saved,Attempt saved. Duncan McGuire's (Orlando City) with right footed shot from the center of the box with an xG of 4% is saved by Sean Johnson.,,
548,fa05623c,54',GOAL,Goal! 3:1. David Brekalo (Orlando City) scored with right footed shot from the center of the box with an xG of 35% to the middle right zone. Assisted by Marco Pašalić.,,
